2014,1,14236.8949842453
2014,2,4519.89195883274
2014,3,55691.0094711781
2014,4,28295.344894886
2014,5,23648.2868702412
2014,6,34595.1274838448
2014,7,33946.3927909136
2014,8,27909.4681773186
2014,9,81777.3513105512
2014,10,31453.3927481174
2014,11,78628.7165292501
2014,12,69545.6202806234
2015,1,18174.0755178928
2015,2,11951.4109165668
2015,3,38726.25218153
2015,4,34195.2084971666
2015,5,30131.6868264675
2015,6,24797.2919781804
2015,7,28765.3249256611
2015,8,36898.3321795464
2015,9,64595.9182552099
2015,10,31404.923363924
2015,11,75972.5631457567
2015,12,74919.5215156078
2016,1,18542.4910029173
2016,2,22978.8151884079
2016,3,51715.8751164675
2016,4,38750.0386896133
2016,5,56987.7272846699
2016,6,40344.5338503718
2016,7,39261.9630224705
2016,8,31115.3742319345
2016,9,73410.024766922
2016,10,59687.74467659
2016,11,79411.9655240774
2016,12,96999.0428646803
2017,1,43971.3735375404
2017,2,20301.1333481073
2017,3,58872.3525214195
2017,4,36521.5361158848
2017,5,44261.1099559069
2017,6,52981.725668788
2017,7,45264.415922761
2017,8,63120.8877636194
2017,9,87866.6517419815
2017,10,77776.9230260849
2017,11,118447.824670434
2017,12,83829.318554163
